SA1_CODE21,mean
5102101,30.77960237
5102102,28.91271804
5102103,28.9800927
5102104,29.67662059
5102105,32.06955772
5102106,31.00356247
5102107,29.92097557
5102108,30.35114663
5102109,30.29409887
5102110,30.33350952
5102111,30.86163549
5102112,29.37677115
5102113,29.67272582
5102114,29.99303882
5102115,29.6388437
5102116,29.99144941
5102117,29.64262704
5102201,30.60753545
5102202,30.62705201
5102203,30.20876295
5102204,31.72750877
5102205,31.37088486
5102206,32.24013116
5102207,32.25961384
5102208,32.17695652
5102209,30.28304348
5102210,30.77713487
5102211,31.60832106
5102212,30.96301767
5102213,31.7503301
5102214,32.29392582
5102215,30.75906387
5102216,34.02652174
5102217,32.17695652
5102218,30.29084601
5102219,31.45089058
5102220,32.17695652
5102301,33.66660941
5102302,34.73359685
5102303,33.65083982
5102304,35.80203318
5102306,36.01763412
5102307,33.73805098
5102308,34.82533579
5102309,34.73379515
5102310,34.21129283
5102311,34.86743249
5102312,34.12402311
5102314,37.07580063
5102315,37.80648852
5102316,36.433492
5102317,36.82320131
5102318,36.87186568
5102319,35.81340994
5102320,35.52045881
5102321,35.1067769
5102322,36.18818385
5102323,36.44748159
5102324,35.07550718
5102325,35.85312862
5102326,35.4148357
5102401,33.56602396
5102402,33.05959245
5102403,31.86399116
5102404,31.50742691
5102405,32.21961124
5102406,33.16859515
5102407,32.55172585
5102408,34.72172528
5102409,34.79989622
5102410,34.65483379
5102411,32.31871643
5102412,34.26304348
5102413,34.24273384
5102414,33.90474567
5102415,33.11462155
5102416,33.84159837
5102417,34.5563227
5102418,33.28999013
5102419,34.13620927
5102420,33.99616665
5102421,33.73254349
5102422,34.59359387
5102423,33.78292698
5102424,33.62080515
5102425,34.33696986
5102426,34.31091855
5102427,33.9982691
5102428,34.67416004
5102429,34.02982921
5102430,32.10304348
5102431,34.76913043
5102432,35.21314032
5102433,34.1181431
5102434,33.46198847
5102436,33.53173913
5102437,36.0606734
5102438,34.77202356
5102439,34.02652174
5102440,33.91073032
5102441,36.09923635
5102501,33.6438383
5102503,33.86042915
5102504,35.89437421
5102505,34.46753138
5102506,34.52295453
5102507,34.45683755
5102508,35.53335448
5102509,37.8931176
5102510,37.87285755
5102511,36.71821175
5102512,36.23463418
5102513,35.50741312
5102514,37.2985724
5102515,37.21478019
5102516,36.73598924
5102517,35.6559678
5102518,36.45014382
5102519,35.93346034
5102520,35.32643517
5102522,36.16809216
5102523,34.55666428
5102524,36.47865709
5102525,35.02229006
5102526,33.76774643
5102601,37.47713251
5102602,35.65323421
5102603,34.97460004
5102604,34.38756648
5102605,36.55920673
5102606,37.2825284
5102607,36.12108312
5102608,37.6236775
5102609,35.96757388
5102611,35.46952841
5102612,35.97128858
5102613,35.67440574
5102614,36.8730965
5102615,36.20238155
5102616,36.83846745
5102617,37.39960439
5102705,35.39326573
5102706,34.94407133
5102707,34.6896065
5102708,35.32854781
5102709,35.05364236
5102710,35.56228438
5102712,35.41988072
5102713,35.23270389
5102716,35.75257731
5102717,35.56391304
5102720,34.88758655
5102721,34.76077349
5102722,35.08939126
5102723,34.4958158
5102724,34.6942753
5102725,36.41653826
5102726,36.04204552
5102727,36.785758
5102728,35.94756516
5102729,35.22093403
5102730,36.19299642
5102731,36.06093228
5102732,36.2590592
5102733,36.64239505
5102734,36.79413919
5102735,35.46908928
5102736,35.15006118
5102737,35.4784594
5102738,36.74274027
5102739,35.33683758
5102740,35.64004281
5102741,35.13036654
5102742,36.79106282
5102743,36.90666612
5102744,35.03685756
5102745,35.88016623
5102746,36.2056423
5102747,35.03044562
5102748,35.99860199
5102749,36.60902543
5102750,36.34389051
5102751,36.40786838
5102801,36.28199949
5102802,37.89300597
5102804,37.32451192
5102805,36.78375394
5102807,37.14732713
5102808,36.79951022
5102809,36.70391304
5102811,36.00112046
5102812,36.12901953
5102813,37.68775545
5102814,35.88708689
5102815,36.06191208
5102816,36.04829767
5102817,37.48304348
5102818,37.55257978
5102819,37.35676994
5102820,37.55388926
5102821,37.30614823
5102822,37.28668113
5102823,34.57666667
5102824,37.62363602
5102825,36.52360664
5102826,37.86614129
5102827,34.80518668
5102828,36.60552802
5102829,37.33065498
5102830,35.78531845
5102901,39.98304348
5102904,40.25556704
5102905,40.50181576
5102907,40.04523112
5102909,40.92347415
5102910,38.7650304
5102912,39.68362694
5102913,39.20444351
5102914,38.71227089
5102915,38.60225117
5102916,38.88328776
5102917,39.57187284
5102919,38.39394409
5102920,39.26033702
5102921,40.6869892
5102922,38.79435036
5102923,39.73927702
5102924,41.69840769
5102925,38.60223133
5102926,39.13410953
5102927,38.88835436
5102928,40.4985737
5102929,38.65199118
5102930,38.74797838
5102931,39.01775436
5102932,39.62749965
5103001,34.3666662
5103002,34.6755369
5103003,36.17713347
5103004,34.63256977
5103005,33.85092925
5103006,34.29540111
5103007,33.421557
5103008,33.41775129
5103009,33.78419979
5103010,34.12926453
5103011,34.24946187
5103012,34.34965052
5103013,34.95443743
5103014,35.08107278
5103015,35.2404496
5103016,37.00279594
5103017,37.01615107
5103018,36.36289102
5103101,33.32188971
5103102,35.85372387
5103103,35.26637172
5103104,34.26551601
5103105,33.78709351
5103106,34.56201763
5103107,31.67359996
5103108,33.27284226
5103109,33.78973496
5103110,34.92552792
5103111,35.62504883
5103112,36.51731767
5103113,35.64729409
5103114,33.78446106
5103115,35.88376133
5103116,35.99857191
5103117,36.5435675
5103118,33.38450871
5103119,33.69219629
5103120,34.334816
5103121,36.51612886
5103201,31.3988622
5103202,31.31288204
5103203,31.1673913
5103204,31.08108346
5103205,33.39600371
5103206,33.58509032
5103207,31.92038905
5103208,30.710858
5103209,31.90982319
5103210,32.73936704
5103211,33.80396871
5103212,31.1673913
5103213,33.28722685
5103214,33.73399693
5103215,34.36728367
5103216,35.16191364
5103217,34.80242965
5103218,33.69432846
5103301,35.79136111
5103302,35.0730653
5103303,34.62232625
5103304,34.76506753
5103305,36.72403132
5103306,36.78238396
5103307,37.78400191
5103308,36.60357198
5103309,36.78983305
5103310,36.62540538
5103311,36.81675719
5103312,36.52326443
5103313,35.1292502
5103314,36.27231209
5103315,35.86299553
5103316,37.36831332
5103317,37.45985632
5103318,37.48912706
5103319,37.44467947
5103320,37.41410625
5103321,35.62178205
5103322,36.49753868
5103401,31.1139363
5103402,27.44912387
5103403,30.70409997
5103404,29.0728176
5103405,30.07162078
5103406,31.49354698
5103407,29.75151404
5103408,29.30187771
5103409,30.00932935
5103410,31.15643958
5103411,29.70447531
5103412,29.2756169
5103413,30.94265902
5103414,30.35598119
5103415,31.18715655
5103416,30.36293592
5103417,28.46313106
5103418,30.35186898
5103419,31.0337874
5103420,30.09013163
5103421,31.31608696
5103422,29.52647134
5103423,31.10888652
5103424,31.31608696
5103501,29.95968925
5103502,28.12931376
5103503,33.78877105
5103504,31.31261562
5103505,29.82871701
5103506,28.5677563
5103507,29.35960217
5103508,29.15104497
5103509,31.97434783
